,index,STATION,NAMEOFDAY,ENTRIES,EXITS,TRAFFIC
1,323,23 ST,Monday,4116005,3419985,2801749
5,327,23 ST,Tuesday,6344036,1365730759,2999328
6,328,23 ST,Wednesday,23923332,48345175,3073773
4,326,23 ST,Thursday,2465612,1894113,3064068
0,322,23 ST,Friday,10386908,23212182,3103210
2,324,23 ST,Saturday,1010871,797989,1790481
3,325,23 ST,Sunday,12895278,15128519,1314159
8,414,34 ST-HERALD SQ,Monday,2158614,2025777,2059172
12,418,34 ST-HERALD SQ,Tuesday,135380811,117635615,2144725
13,419,34 ST-HERALD SQ,Wednesday,2533189,2397021,2160383
11,417,34 ST-HERALD SQ,Thursday,135314344,117653507,2170720
7,413,34 ST-HERALD SQ,Friday,2471655,2403555,2192143
9,415,34 ST-HERALD SQ,Saturday,1294274,1294518,1814556
10,416,34 ST-HERALD SQ,Sunday,998005,977102,1711007
15,428,34 ST-PENN STA,Monday,3127182,2836696,3770175
19,432,34 ST-PENN STA,Tuesday,9414702,15465201,4012444
20,433,34 ST-PENN STA,Wednesday,29173789,44473108,4063172
18,431,34 ST-PENN STA,Thursday,27059918,41983099,4084697
14,427,34 ST-PENN STA,Friday,29625451,44632150,4137139
16,429,34 ST-PENN STA,Saturday,27209703,42981991,2964682
17,430,34 ST-PENN STA,Sunday,11154035,8606693,2561041
22,771,86 ST,Monday,944732185,287713868,2139936
26,775,86 ST,Tuesday,1747367,1538165,2314433
27,776,86 ST,Wednesday,2050706,1674584,2376680
25,774,86 ST,Thursday,1810702,1572033,2376204
21,770,86 ST,Friday,2048154,1659063,2342906
23,772,86 ST,Saturday,2151004,3916769,1692383
24,773,86 ST,Sunday,5201061,5414109,1414891
29,1583,FULTON ST,Monday,1756406,1523566,2981244
33,1587,FULTON ST,Tuesday,339480571,423217536,3340265
34,1588,FULTON ST,Wednesday,2087304,1818750,3464067
32,1586,FULTON ST,Thursday,2327141,1852466,3448462
28,1582,FULTON ST,Friday,900693782,978807173,3329622
30,1584,FULTON ST,Saturday,699031,597667,1296698
31,1585,FULTON ST,Sunday,524046,447647,971693
36,1632,GRD CNTRL-42 ST,Monday,2805881,2538092,2451241
40,1636,GRD CNTRL-42 ST,Tuesday,322795778,1524666966,2593276
41,1637,GRD CNTRL-42 ST,Wednesday,6732861,11210206,2646575
39,1635,GRD CNTRL-42 ST,Thursday,4165552,3150071,2643513
35,1631,GRD CNTRL-42 ST,Friday,3080521,2864744,2640783
37,1633,GRD CNTRL-42 ST,Saturday,1043068,1068257,1632372
38,1634,GRD CNTRL-42 ST,Sunday,779285,777940,1408588
43,2472,TIMES SQ-42 ST,Monday,2489259,2136678,2024895
47,2476,TIMES SQ-42 ST,Tuesday,1894054,1870177,2096823
48,2477,TIMES SQ-42 ST,Wednesday,38963347,91207976,2115425
46,2475,TIMES SQ-42 ST,Thursday,1981215,1959196,2088193
42,2471,TIMES SQ-42 ST,Friday,1900706,1929253,2173738
44,2473,TIMES SQ-42 ST,Saturday,1040117,1209343,1810083
45,2474,TIMES SQ-42 ST,Sunday,2090834,2959259,1579846
